symbol,side,entry_time,exit_time,rank,score,feature_score,estimated_win_rate,selection_score,entry_price,exit_price,stop_loss,take_profit,risk_pct,net_r,gross_r,cost_r,mfe_r,mae_r,win,close_reason
SPCXUSDT,SHORT,2026-06-19T04:05:00+00:00,2026-06-19T05:14:59.999000+00:00,1,34.47,90.08,0.6433,71.4367,179.17,178.5774032731,180.5525271962,176.4049456076,0.771629,0.481694,0.58537,0.103677,1.417694,-0.918608,True,LOCKED_STOP
SLXUSDT,LONG,2026-06-19T08:15:00+00:00,2026-06-19T08:24:59.999000+00:00,1,33.99,100.0,0.675,77.0985,0.15708,0.1578907924,0.1555732384,0.1600935231,0.959232,0.580685,0.664085,0.0834,1.553,-0.278744,True,LOCKED_STOP
SLXUSDT,LONG,2026-06-19T08:45:00+00:00,2026-06-19T08:54:59.999000+00:00,1,33.03,100.0,0.675,76.9545,0.16074,0.1591564298,0.1591564298,0.1639071405,0.985175,-1.181658,-1.100455,0.081204,0.669374,-1.364006,False,SL
SLXUSDT,SHORT,2026-06-19T09:25:00+00:00,2026-06-19T10:19:59.999000+00:00,1,23.92,100.0,0.725,77.588,0.15422,0.1523094977,0.1557430761,0.1511738478,0.9876,0.946002,1.027007,0.081004,2.232324,-0.84697,True,AMBIGUOUS_STOP_FIRST
BEATUSDT,LONG,2026-06-19T11:45:00+00:00,2026-06-19T11:54:59.999000+00:00,1,38.92,100.0,0.675,77.838,1.917,1.9824675,1.869075,2.01285,2.5,1.109858,1.141858,0.032,2.426708,-0.062598,True,AMBIGUOUS_STOP_FIRST
BEATUSDT,LONG,2026-06-19T12:00:00+00:00,2026-06-19T12:09:59.999000+00:00,1,45.25,83.19,0.6212,69.0713,2.011,2.0436,1.960725,2.11155,2.5,0.751413,0.783413,0.032,1.690701,0.0,True,LOCKED_STOP
BEATUSDT,SHORT,2026-06-19T12:25:00+00:00,2026-06-19T12:29:59.999000+00:00,1,40.39,96.58,0.6641,76.0817,1.858,1.90445,1.90445,1.7651,2.5,-1.073021,-1.041021,0.032,0.279871,-1.851453,False,SL
HEIUSDT,LONG,2026-06-19T13:15:00+00:00,2026-06-19T13:29:59.999000+00:00,1,56.7,81.79,0.6667,71.9796,0.15145,0.14766375,0.14766375,0.1590225,2.5,-1.070981,-1.038981,0.032,0.855728,-2.033674,False,SL
ZECUSDT,LONG,2026-06-19T13:30:00+00:00,2026-06-19T13:39:59.999000+00:00,1,19.01,100.0,0.725,76.8515,448.49,451.7234976341,445.2799495669,454.9101008663,0.715746,0.751233,0.863005,0.111771,2.021775,-0.037383,True,AMBIGUOUS_STOP_FIRST
SLXUSDT,LONG,2026-06-19T13:45:00+00:00,2026-06-19T14:19:59.999000+00:00,1,22.46,85.52,0.6287,66.9996,0.15592,0.1583007692,0.1545829269,0.1585941462,0.857538,1.179057,1.272347,0.09329,2.804634,-0.658154,True,AMBIGUOUS_STOP_FIRST
BEATUSDT,LONG,2026-06-19T16:30:00+00:00,2026-06-19T16:34:59.999000+00:00,1,43.59,96.04,0.6623,76.2496,2.047,2.0138945929,2.0138945929,2.1132108142,1.617265,-1.110269,-1.060802,0.049466,0.422892,-2.174871,False,SL
BEATUSDT,SHORT,2026-06-19T17:10:00+00:00,2026-06-19T17:14:59.999000+00:00,1,44.25,87.77,0.6359,71.5686,1.864,1.7740356539,1.908982173,1.7740356539,2.413207,1.42689,1.460041,0.033151,2.111948,-0.155617,True,TP
SYNUSDT,LONG,2026-06-19T18:40:00+00:00,2026-06-19T18:49:59.999000+00:00,1,44.44,100.0,0.675,78.666,0.12779,0.125472736,0.125472736,0.1324245279,1.813337,-1.098237,-1.05412,0.044118,0.138094,-1.527664,False,SL
SYNUSDT,LONG,2026-06-19T21:05:00+00:00,2026-06-19T21:09:59.999000+00:00,1,44.71,94.1,0.6561,75.2963,0.13731,0.1424730163,0.1347284918,0.1424730163,1.880058,1.402786,1.445337,0.042552,2.115043,-0.189812,True,TP
SYNUSDT,LONG,2026-06-19T21:10:00+00:00,2026-06-19T21:29:59.999000+00:00,1,53.69,100.0,0.675,80.0535,0.14131,0.1384779434,0.1384779434,0.1469741131,2.004144,-1.088789,-1.048872,0.039917,0.699139,-1.394746,False,SL
BLESSUSDT,LONG,2026-06-19T22:25:00+00:00,2026-06-19T22:39:59.999000+00:00,1,40.89,100.0,0.675,78.1335,0.007916,0.0078412614,0.0078412614,0.0080654772,0.944146,-1.189596,-1.104863,0.084733,0.428159,-1.230957,False,SL
SLXUSDT,LONG,2026-06-20T03:50:00+00:00,2026-06-20T04:49:59.999000+00:00,1,24.07,93.15,0.6531,71.6512,0.17149,0.1719984213,0.1698883151,0.1746933697,0.933981,0.465386,0.551041,0.085655,1.32985,-0.905297,True,LOCKED_STOP
HEIUSDT,SHORT,2026-06-20T05:20:00+00:00,2026-06-20T05:49:59.999000+00:00,1,26.7,100.0,0.725,78.005,0.10515,0.1042496728,0.1063431616,0.1027636768,1.134723,0.719491,0.789993,0.070502,1.734887,-0.494485,True,LOCKED_STOP
BLESSUSDT,SHORT,2026-06-20T07:20:00+00:00,2026-06-20T07:29:59.999000+00:00,1,52.35,81.06,0.6144,68.9052,0.007613,0.0075754002,0.007800999,0.0072370021,2.469446,0.527689,0.560085,0.032396,1.159581,-0.643621,True,LOCKED_STOP
HEIUSDT,LONG,2026-06-20T14:10:00+00:00,2026-06-20T14:14:59.999000+00:00,1,43.33,100.0,0.675,78.4995,0.1147,0.1194146954,0.1123426523,0.1194146954,2.055229,1.410944,1.449869,0.038925,2.023461,-0.025452,True,TP
SLXUSDT,SHORT,2026-06-20T14:20:00+00:00,2026-06-20T14:29:59.999000+00:00,1,26.89,100.0,0.725,78.0335,0.2073,0.2111805465,0.2111805465,0.199538907,1.871947,-1.097184,-1.054448,0.042736,0.175233,-1.914679,False,SL
BLESSUSDT,LONG,2026-06-20T15:55:00+00:00,2026-06-20T16:04:59.999000+00:00,1,42.4,100.0,0.675,78.36,0.007943,0.0080067295,0.0078622144,0.0081045713,1.017067,0.716611,0.795269,0.078658,1.807252,-0.532273,True,LOCKED_STOP
BLESSUSDT,LONG,2026-06-20T16:05:00+00:00,2026-06-20T16:19:59.999000+00:00,1,48.54,100.0,0.675,79.281,0.008078,0.0080961177,0.0079874116,0.0082591768,1.121421,0.438934,0.510272,0.071338,1.103894,-1.070777,True,LOCKED_STOP
SYNUSDT,SHORT,2026-06-20T16:25:00+00:00,2026-06-20T16:34:59.999000+00:00,1,36.07,100.0,0.725,79.4105,0.15861,0.1618977339,0.1618977339,0.1520345322,2.072841,-1.087862,-1.049268,0.038594,0.082123,-1.66376,False,SL
HEIUSDT,LONG,2026-06-20T19:10:00+00:00,2026-06-20T19:19:59.999000+00:00,1,22.46,100.0,0.725,77.369,0.11111,0.1101624306,0.1101624306,0.1130051387,0.852821,-1.210006,-1.1162,0.093806,0.432686,-1.150312,False,SL
BEATUSDT,SHORT,2026-06-20T21:25:00+00:00,2026-06-20T21:54:59.999000+00:00,1,29.23,100.0,0.725,78.3845,1.806,1.7953321869,1.8256587441,1.7666825118,1.088524,0.606689,0.680183,0.073494,1.526038,-0.101736,True,LOCKED_STOP
SLXUSDT,SHORT,2026-06-21T00:30:00+00:00,2026-06-21T00:49:59.999000+00:00,1,26.4,100.0,0.725,77.96,0.19967,0.2023180542,0.2023180542,0.1943738916,1.326215,-1.136763,-1.076441,0.060322,0.717508,-1.05738,False,SL
BEATUSDT,LONG,2026-06-21T02:55:00+00:00,2026-06-21T03:04:59.999000+00:00,1,24.96,93.19,0.6532,71.8078,1.797,1.7732058797,1.7732058797,1.8445882407,1.324102,-1.134904,-1.074486,0.060418,0.546353,-1.05068,False,SL
SYNUSDT,SHORT,2026-06-21T03:20:00+00:00,2026-06-21T03:49:59.999000+00:00,1,21.6,85.6,0.6789,68.9168,0.13092,0.1330330761,0.1330330761,0.1266938478,1.614021,-1.112554,-1.062989,0.049566,0.435384,-1.244631,False,SL
SLXUSDT,SHORT,2026-06-21T04:05:00+00:00,2026-06-21T04:59:59.999000+00:00,1,31.47,100.0,0.725,78.7205,0.20244,0.1995938626,0.2055227953,0.1962744094,1.522819,0.844344,0.896878,0.052534,1.894385,-0.772027,True,LOCKED_STOP
HEIUSDT,SHORT,2026-06-21T05:40:00+00:00,2026-06-21T06:04:59.999000+00:00,1,22.53,96.52,0.7139,75.3681,0.10229,0.1021433256,0.1030233719,0.1008232562,0.716954,0.349468,0.461051,0.111583,1.186301,0.0,True,LOCKED_STOP
BLESSUSDT,SHORT,2026-06-21T06:20:00+00:00,2026-06-21T06:24:59.999000+00:00,1,25.5,86.25,0.631,67.8775,0.007838,0.0079032066,0.0079032066,0.0077075868,0.831929,-1.217425,-1.121263,0.096162,0.352725,-1.763625,False,SL
BEATUSDT,LONG,2026-06-21T07:45:00+00:00,2026-06-21T08:14:59.999000+00:00,1,22.53,100.0,0.725,77.3795,1.774,1.753704779,1.753704779,1.8145904419,1.144037,-1.156294,-1.086367,0.069928,0.640545,-2.167998,False,SL
BLESSUSDT,LONG,2026-06-21T08:15:00+00:00,2026-06-21T08:19:59.999000+00:00,1,17.7,98.81,0.7212,75.9672,0.007965,0.0079043521,0.0079043521,0.0080862958,0.76143,-1.235332,-1.130267,0.105065,0.131909,-3.215281,False,SL
BEATUSDT,SHORT,2026-06-21T08:25:00+00:00,2026-06-21T09:59:59.999000+00:00,1,34.03,84.06,0.624,67.8912,1.733,1.7155140369,1.7529397559,1.6931204883,1.150592,0.782924,0.852454,0.069529,1.855589,-0.501511,True,LOCKED_STOP
SYNUSDT,LONG,2026-06-21T10:05:00+00:00,2026-06-21T10:19:59.999000+00:00,1,30.2,85.67,0.6291,68.2473,0.13503,0.1380088939,0.1333190795,0.1384518409,1.267067,1.227162,1.2903,0.063138,2.776283,-0.233792,True,AMBIGUOUS_STOP_FIRST
SYNUSDT,LONG,2026-06-21T10:20:00+00:00,2026-06-21T10:24:59.999000+00:00,1,52.25,100.0,0.675,79.8375,0.13911,0.1430696708,0.1371301646,0.1430696708,1.423216,1.372062,1.428272,0.056211,3.323509,-0.277801,True,TP
SYNUSDT,LONG,2026-06-21T10:45:00+00:00,2026-06-21T10:54:59.999000+00:00,1,53.55,100.0,0.675,80.0325,0.15303,0.1551066965,0.1496310771,0.1598278458,2.221083,0.723669,0.759688,0.036018,1.647581,-0.244195,True,LOCKED_STOP
SLXUSDT,SHORT,2026-06-21T12:30:00+00:00,2026-06-21T12:44:59.999000+00:00,1,23.67,100.0,0.725,77.5505,0.19167,0.1938370487,0.1938370487,0.1873359025,1.130614,-1.16025,-1.089492,0.070758,0.401468,-2.108859,False,SL
